product_id,segment,category,sub_category,product_name,row_number
OFF-BI-10002609,Consumer,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1
OFF-BI-10003007,Corporate,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",1
OFF-BI-10003364,Consumer,Office Supplies,Binders,Binding Machine Supplies,1
OFF-BI-10003460,Consumer,Office Supplies,Binders,Acco 3-Hole Punch,1
OFF-BI-10003718,Home Office,Office Supplies,Binders,GBC Therma-A-Bind 250T Electric Binding System,1
OFF-BI-10003719,Consumer,Office Supplies,Binders,Large Capacity Hanging Post Binders,1
OFF-BI-10003727,Consumer,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,1
OFF-BI-10004506,Home Office,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,1
OFF-EN-10001219,Home Office,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1
OFF-EN-10004459,Home Office,Office Supplies,Envelopes,Security-Tint Envelopes,1
OFF-EN-10004846,Corporate,Office Supplies,Envelopes,Letter or Legal Size Expandable Poly String Tie Envelopes,1
OFF-FA-10000840,Consumer,Office Supplies,Fasteners,OIC Thumb-Tacks,1
OFF-LA-10000407,Home Office,Office Supplies,Labels,Avery White Multi-Purpose Labels,1
OFF-LA-10001175,Corporate,Office Supplies,Labels,Avery 514,1
OFF-LA-10001569,Home Office,Office Supplies,Labels,Avery 499,1
OFF-LA-10002271,Consumer,Office Supplies,Labels,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,1
OFF-LA-10003223,Consumer,Office Supplies,Labels,Avery 508,1
OFF-LA-10003923,Home Office,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,1
OFF-PA-10000788,Consumer,Office Supplies,Paper,Xerox 210,1
OFF-PA-10000806,Consumer,Office Supplies,Paper,Xerox 1934,1
OFF-PA-10001260,Consumer,Office Supplies,Paper,"TOPS Money Receipt Book, Consecutively Numbered in Red,",1
OFF-PA-10001281,Home Office,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Fine Perforations,1
OFF-PA-10001838,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",1
OFF-PA-10001937,Consumer,Office Supplies,Paper,Xerox 21,1
OFF-PA-10001994,Corporate,Office Supplies,Paper,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",1
OFF-PA-10002195,Home Office,Office Supplies,Paper,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",1
OFF-PA-10002558,Consumer,Office Supplies,Paper,Xerox 1938,1
OFF-PA-10002749,Consumer,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",1
OFF-PA-10003270,Consumer,Office Supplies,Paper,Xerox 1954,1
OFF-PA-10004092,Consumer,Office Supplies,Paper,Tops Green Bar Computer Printout Paper,1
OFF-PA-10004621,Home Office,Office Supplies,Paper,Xerox 212,1
OFF-ST-10000604,Consumer,Office Supplies,Storage,Home/Office Personal File Carts,1
OFF-ST-10000615,Corporate,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",1
OFF-ST-10000876,Corporate,Office Supplies,Storage,Eldon Simplefile Box Office,1
OFF-ST-10001414,Home Office,Office Supplies,Storage,Decoflex Hanging Personal Folder File,1
OFF-ST-10001780,Corporate,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,1
OFF-ST-10001837,Corporate,Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",1
OFF-ST-10001963,Consumer,Office Supplies,Storage,Tennsco Regal Shelving Units,1
OFF-ST-10002406,Corporate,Office Supplies,Storage,Pizazz Global Quick File,1
OFF-ST-10003722,Consumer,Office Supplies,Storage,Project Tote Personal File,1
OFF-ST-10004258,Corporate,Office Supplies,Storage,Portable Personal File Box,1
OFF-SU-10000157,Corporate,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,1
OFF-SU-10001212,Consumer,Office Supplies,Supplies,Kleencut Forged Office Shears by Acme United Corporation,1
TEC-AC-10000023,Corporate,Technology,Accessories,"Maxell 74 Minute CD-R Spindle, 50/Pack",1
TEC-AC-10001142,Consumer,Technology,Accessories,First Data FD10 PIN Pad,1
TEC-AC-10001383,Corporate,Technology,Accessories,Logitech Wireless Touch Keyboard K400,1
TEC-AC-10001553,Consumer,Technology,Accessories,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",1
TEC-AC-10001998,Consumer,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,1
TEC-AC-10002550,Consumer,Technology,Accessories,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",1
TEC-AC-10002926,Consumer,Technology,Accessories,Logitech Wireless Marathon Mouse M705,1
TEC-AC-10003610,Consumer,Technology,Accessories,Logitech Illuminated - Keyboard,1
TEC-AC-10004145,Corporate,Technology,Accessories,Logitech diNovo Edge Keyboard,1
TEC-AC-10004568,Home Office,Technology,Accessories,Maxell LTO Ultrium - 800 GB,1
TEC-AC-10004877,Consumer,Technology,Accessories,Imation 30456 USB Flash Drive 8GB,1
TEC-CO-10001766,Consumer,Technology,Copiers,Canon PC940 Copier,1
TEC-MA-10003626,Home Office,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,1
TEC-MA-10004626,Consumer,Technology,Machines,Lexmark 20R1285 X6650 Wireless All-in-One Printer,1
TEC-PH-10000193,Consumer,Technology,Phones,Jensen SMPS-640 - speaker phone,1
TEC-PH-10000455,Home Office,Technology,Phones,GE 30522EE2,1
TEC-PH-10000576,Corporate,Technology,Phones,AT&T 1080 Corded phone,1
TEC-PH-10001128,Consumer,Technology,Phones,Motorola Droid Maxx,1
TEC-PH-10001615,Corporate,Technology,Phones,AT&T CL82213,1
TEC-PH-10001870,Home Office,Technology,Phones,Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5,1
TEC-PH-10002185,Consumer,Technology,Phones,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,1
TEC-PH-10002415,Consumer,Technology,Phones,Polycom VoiceStation 500 Conference phone,1
TEC-PH-10002555,Home Office,Technology,Phones,Nortel Meridian M5316 Digital phone,1
TEC-PH-10002563,Consumer,Technology,Phones,Adtran 1202752G1,1
TEC-PH-10002564,Home Office,Technology,Phones,OtterBox Defender Series Case - Samsung Galaxy S4,1
TEC-PH-10004700,Corporate,Technology,Phones,PowerGen Dual USB Car Charger,1
FUR-BO-10001567,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",1
FUR-BO-10001601,Corporate,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",1
FUR-BO-10002206,Consumer,Furniture,Bookcases,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",1
FUR-CH-10000155,Home Office,Furniture,Chairs,Global Comet Stacking Armless Chair,1
FUR-CH-10000665,Corporate,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",1
FUR-CH-10002372,Consumer,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,1
FUR-CH-10002961,Consumer,Furniture,Chairs,"Leather Task Chair, Black",1
FUR-CH-10003298,Home Office,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",1
FUR-CH-10003833,Consumer,Furniture,Chairs,Novimex Fabric Task Chair,1
FUR-CH-10004289,Consumer,Furniture,Chairs,Global Super Steno Chair,1
FUR-FU-10000732,Consumer,Furniture,Furnishings,Eldon 200 Class Desk Accessories,1
FUR-FU-10001025,Consumer,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",1
FUR-FU-10001290,Consumer,Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,1
FUR-FU-10001918,Corporate,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,1
FUR-FU-10002874,Consumer,Furniture,Furnishings,Ultra Commercial Grade Dual Valve Door Closer,1
FUR-FU-10002918,Consumer,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,1
FUR-FU-10002960,Corporate,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",1
FUR-FU-10003535,Consumer,Furniture,Furnishings,Howard Miller Distant Time Traveler Alarm Clock,1
FUR-FU-10003798,Consumer,Furniture,Furnishings,"Ultra Door Kickplate, 8""H x 34""W",1
FUR-FU-10004018,Consumer,Furniture,Furnishings,Tensor Computer Mounted Lamp,1
FUR-TA-10000577,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1
FUR-TA-10001307,Corporate,Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",1
FUR-TA-10004154,Home Office,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",1
OFF-AP-10000252,Consumer,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,1
OFF-AP-10002472,Corporate,Office Supplies,Appliances,3M Office Air Cleaner,1
OFF-AP-10002906,Corporate,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,1
OFF-AP-10003099,Consumer,Office Supplies,Appliances,"Eureka Hand Vacuum, Bagless",1
OFF-AP-10003281,Consumer,Office Supplies,Appliances,Acco 6 Outlet Guardian Standard Surge Suppressor,1
OFF-AP-10003860,Consumer,Office Supplies,Appliances,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,1
OFF-AP-10004708,Corporate,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,1
OFF-AR-10001216,Home Office,Office Supplies,Art,Newell 339,1
OFF-AR-10001761,Consumer,Office Supplies,Art,Avery Hi-Liter Smear-Safe Highlighters,1
OFF-AR-10002656,Consumer,Office Supplies,Art,Sanford Liquid Accent Highlighters,1
OFF-AR-10003394,Corporate,Office Supplies,Art,Newell 332,1
OFF-AR-10003469,Home Office,Office Supplies,Art,Nontoxic Chalk,1
OFF-AR-10003896,Consumer,Office Supplies,Art,"Stride Job 150 Highlighters, Chisel Tip, Assorted Colors",1
OFF-AR-10004648,Corporate,Office Supplies,Art,Boston 19500 Mighty Mite Electric Pencil Sharpener,1
OFF-BI-10001510,Consumer,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,1
OFF-BI-10001679,Corporate,Office Supplies,Binders,GBC Instant Index System for Binding Systems,1
OFF-BI-10002824,Corporate,Office Supplies,Binders,Recycled Easel Ring Binders,1
OFF-BI-10003784,Corporate,Office Supplies,Binders,Computer Printout Index Tabs,1
OFF-BI-10004209,Consumer,Office Supplies,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",1
OFF-BI-10004632,Corporate,Office Supplies,Binders,GBC Binding covers,1
OFF-BI-10004995,Home Office,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,1
OFF-EN-10003567,Consumer,Office Supplies,Envelopes,"Inter-Office Recycled Envelopes, Brown Kraft, Button-String,10"" x 13"" , 100/Box",1
OFF-EN-10004206,Consumer,Office Supplies,Envelopes,Multimedia Mailers,1
OFF-EN-10004773,Corporate,Office Supplies,Envelopes,Staple envelope,1
OFF-FA-10003485,Consumer,Office Supplies,Fasteners,Staples,1
OFF-FA-10004854,Consumer,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",1
OFF-LA-10000081,Home Office,Office Supplies,Labels,Avery 496,1
OFF-LA-10003714,Corporate,Office Supplies,Labels,Avery 510,1
OFF-LA-10004484,Corporate,Office Supplies,Labels,Avery 476,1
OFF-PA-10000232,Consumer,Office Supplies,Paper,Xerox 1975,1
OFF-PA-10000300,Consumer,Office Supplies,Paper,Xerox 1936,1
OFF-PA-10000380,Home Office,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",1
OFF-PA-10000483,Consumer,Office Supplies,Paper,Xerox 19,1
OFF-PA-10000501,Consumer,Office Supplies,Paper,Petty Cash Envelope,1
OFF-PA-10000533,Consumer,Office Supplies,Paper,Southworth Parchment Paper & Envelopes,1
OFF-PA-10000743,Corporate,Office Supplies,Paper,Xerox 1977,1
OFF-PA-10001450,Consumer,Office Supplies,Paper,Rediform S.O.S. Phone Message Books,1
OFF-PA-10001471,Consumer,Office Supplies,Paper,Strathmore Photo Frame Cards,1
OFF-PA-10001509,Consumer,Office Supplies,Paper,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",1
OFF-PA-10002581,Home Office,Office Supplies,Paper,Xerox 1951,1
OFF-PA-10002923,Corporate,Office Supplies,Paper,Xerox 1942,1
OFF-PA-10002986,Home Office,Office Supplies,Paper,Xerox 1898,1
OFF-PA-10003302,Consumer,Office Supplies,Paper,Xerox 1906,1
OFF-PA-10003309,Corporate,Office Supplies,Paper,Xerox 211,1
OFF-PA-10003424,Consumer,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",1
OFF-PA-10004156,Corporate,Office Supplies,Paper,Xerox 188,1
OFF-PA-10004405,Home Office,Office Supplies,Paper,Rediform Voice Mail Log Books,1
OFF-PA-10004519,Consumer,Office Supplies,Paper,Spiral Phone Message Books with Labels by Adams,1
OFF-PA-10004735,Consumer,Office Supplies,Paper,Xerox 1905,1
OFF-PA-10004888,Consumer,Office Supplies,Paper,Xerox 217,1
OFF-ST-10000464,Home Office,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",1
OFF-ST-10000943,Corporate,Office Supplies,Storage,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,1
OFF-ST-10001034,Corporate,Office Supplies,Storage,Eldon File Chest Portable File,1
OFF-ST-10001172,Home Office,Office Supplies,Storage,"Tennsco Lockers, Sand",1
OFF-ST-10001580,Corporate,Office Supplies,Storage,Super Decoflex Portable Personal File,1
OFF-ST-10001590,Home Office,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",1
OFF-ST-10001627,Consumer,Office Supplies,Storage,Eldon Jumbo ProFile Portable File Boxes Graphite/Black,1
OFF-ST-10002790,Home Office,Office Supplies,Storage,Safco Industrial Shelving,1
OFF-ST-10003656,Home Office,Office Supplies,Storage,Safco Industrial Wire Shelving,1
OFF-ST-10003716,Consumer,Office Supplies,Storage,Tennsco Double-Tier Lockers,1
OFF-SU-10001218,Consumer,Office Supplies,Supplies,Fiskars Softgrip Scissors,1
OFF-SU-10001225,Consumer,Office Supplies,Supplies,Staple remover,1
OFF-SU-10002503,Corporate,Office Supplies,Supplies,Acme Preferred Stainless Steel Scissors,1
OFF-SU-10004231,Corporate,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,1
TEC-AC-10000199,Consumer,Technology,Accessories,Kingston Digital DataTraveler 8GB USB 2.0,1
TEC-AC-10000420,Corporate,Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,1
TEC-AC-10001267,Consumer,Technology,Accessories,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,1
TEC-AC-10001956,Consumer,Technology,Accessories,Microsoft Arc Touch Mouse,1
TEC-AC-10002001,Consumer,Technology,Accessories,Logitech Wireless Gaming Headset G930,1
TEC-AC-10002076,Consumer,Technology,Accessories,Microsoft Natural Keyboard Elite,1
TEC-AC-10002857,Consumer,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",1
TEC-AC-10003614,Corporate,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",1
TEC-AC-10003870,Corporate,Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH,1
TEC-AC-10003911,Corporate,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,1
TEC-CO-10003763,Consumer,Technology,Copiers,Canon PC1060 Personal Laser Copier,1
TEC-MA-10000984,Consumer,Technology,Machines,Okidata MB760 Printer,1
TEC-MA-10002073,Consumer,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, White",1
TEC-MA-10003183,Consumer,Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,1
TEC-PH-10000011,Consumer,Technology,Phones,PureGear Roll-On Screen Protector,1
TEC-PH-10000895,Home Office,Technology,Phones,Polycom VVX 310 VoIP phone,1
TEC-PH-10001494,Home Office,Technology,Phones,Polycom CX600 IP Phone VoIP phone,1
TEC-PH-10001817,Corporate,Technology,Phones,Wilson Electronics DB Pro Signal Booster,1
TEC-PH-10002262,Home Office,Technology,Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,1
TEC-PH-10002807,Corporate,Technology,Phones,Motorla HX550 Universal Bluetooth Headset,1
TEC-PH-10003215,Consumer,Technology,Phones,Jackery Bar Premium Fast-charging Portable Charger,1
TEC-PH-10003811,Consumer,Technology,Phones,Jabra Supreme Plus Driver Edition Headset,1
TEC-PH-10003885,Corporate,Technology,Phones,Cisco SPA508G,1
TEC-PH-10004006,Corporate,Technology,Phones,Panasonic KX - TS880B Telephone,1
TEC-PH-10004389,Corporate,Technology,Phones,Nokia Lumia 925,1
TEC-PH-10004830,Consumer,Technology,Phones,Pyle PRT45 Retro Home Telephone,1
TEC-PH-10004896,Consumer,Technology,Phones,Nokia Lumia 521 (T-Mobile),1
FUR-BO-10001608,Corporate,Furniture,Bookcases,"Hon Metal Bookcases, Black",1
FUR-BO-10004690,Home Office,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,1
FUR-CH-10002647,Home Office,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",1
FUR-CH-10003199,Consumer,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,1
FUR-CH-10004675,Corporate,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",1
FUR-FU-10000277,Corporate,Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,1
FUR-FU-10001085,Consumer,Furniture,Furnishings,3M Polarizing Light Filter Sleeves,1
FUR-FU-10001095,Corporate,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,1
FUR-FU-10001756,Home Office,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",1
FUR-FU-10001847,Consumer,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,1
FUR-FU-10001876,Consumer,Furniture,Furnishings,"Computer Room Manger, 14""",1
FUR-FU-10002111,Corporate,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",1
FUR-FU-10003394,Home Office,Furniture,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",1
FUR-FU-10003731,Consumer,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",1
FUR-FU-10003981,Consumer,Furniture,Furnishings,Eldon Wave Desk Accessories,1
FUR-FU-10004091,Consumer,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",1
FUR-TA-10002607,Corporate,Furniture,Tables,KI Conference Tables,1
FUR-TA-10004915,Consumer,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1
OFF-AP-10000938,Home Office,Office Supplies,Appliances,Avanti 1.7 Cu. Ft. Refrigerator,1
OFF-AP-10001563,Home Office,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,1
OFF-AP-10003278,Corporate,Office Supplies,Appliances,Belkin 7-Outlet SurgeMaster Home Series,1
OFF-AP-10003779,Home Office,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,1
OFF-AP-10003971,Consumer,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,1
OFF-AP-10004540,Consumer,Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",1
OFF-AR-10000255,Home Office,Office Supplies,Art,Newell 328,1
OFF-AR-10000411,Consumer,Office Supplies,Art,Boston 16701 Slimline Battery Pencil Sharpener,1
OFF-AR-10001231,Corporate,Office Supplies,Art,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",1
OFF-AR-10001374,Consumer,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",1
OFF-AR-10001955,Home Office,Office Supplies,Art,Newell 319,1
OFF-AR-10002445,Home Office,Office Supplies,Art,SANFORD Major Accent Highlighters,1
OFF-AR-10003156,Home Office,Office Supplies,Art,50 Colored Long Pencils,1
OFF-AR-10003373,Consumer,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",1
OFF-AR-10003481,Home Office,Office Supplies,Art,Newell 348,1
OFF-AR-10003560,Consumer,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,1
OFF-AR-10003772,Consumer,Office Supplies,Art,Boston 16750 Black Compact Battery Pencil Sharpener,1
OFF-AR-10004062,Consumer,Office Supplies,Art,Staples in misc. colors,1
OFF-AR-10004685,Corporate,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",1
OFF-AR-10004752,Home Office,Office Supplies,Art,Blackstonian Pencils,1
OFF-AR-10004790,Consumer,Office Supplies,Art,Staples in misc. colors,1
OFF-BI-10000042,Consumer,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",1
OFF-BI-10000174,Home Office,Office Supplies,Binders,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",1
OFF-BI-10000632,Consumer,Office Supplies,Binders,Satellite Sectional Post Binders,1
OFF-BI-10001107,Corporate,Office Supplies,Binders,"GBC White Gloss Covers, Plain Front",1
OFF-BI-10001153,Corporate,Office Supplies,Binders,Ibico Recycled Grain-Textured Covers,1
OFF-BI-10001553,Consumer,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,1
OFF-BI-10001670,Home Office,Office Supplies,Binders,Vinyl Sectional Post Binders,1
OFF-BI-10003196,Corporate,Office Supplies,Binders,Accohide Poly Flexible Ring Binders,1
OFF-BI-10003981,Consumer,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",1
OFF-BI-10004022,Consumer,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,1
OFF-BI-10004099,Home Office,Office Supplies,Binders,GBC VeloBinder Strips,1
OFF-BI-10004139,Corporate,Office Supplies,Binders,Fellowes Presentation Covers for Comb Binding Machines,1
OFF-BI-10004352,Corporate,Office Supplies,Binders,Wilson Jones DublLock D-Ring Binders,1
OFF-BI-10004593,Consumer,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,1
OFF-BI-10004817,Consumer,Office Supplies,Binders,GBC Personal VeloBind Strips,1
